                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3722,                 4.2441,                 3.8801,                 0.0829,                 0.0576,                0.01341,                0.00453,                 2.6608,                 4.8522,                 3.3683,             0.00055238,             0.00055238,             0.00055238
                      2,                 2.6626,                 3.3699,                 2.9323,                0.20611,                0.23455,                0.13059,                 0.0441,                 2.2707,                 3.2702,                 2.5267,              0.0010861,              0.0010861,              0.0010861
                      3,                 2.3863,                 2.8313,                 2.4684,                 0.2301,                0.30014,                  0.176,                0.06577,                 2.1537,                 2.9513,                 2.3131,              0.0015978,              0.0015978,              0.0015978
                      4,                  2.273,                 2.5729,                 2.2641,                0.29801,                0.39668,                 0.2325,                0.08712,                 2.0976,                 2.6462,                 2.1464,               0.001568,               0.001568,               0.001568
                      5,                 2.1749,                 2.4783,                 2.1523,                0.18028,                0.39031,                0.16325,                0.06109,                 2.1356,                 3.4995,                  2.318,               0.001568,               0.001568,               0.001568
                      6,                 2.0992,                 2.3862,                 2.0667,                0.33529,                0.40046,                0.29464,                0.13063,                 1.9162,                 2.2292,                 2.0189,               0.001535,               0.001535,               0.001535
                      7,                 2.0516,                 2.3391,                 2.0235,                0.34662,                0.40532,                0.29284,                0.11528,                 1.9159,                 2.2736,                 1.9674,               0.001502,               0.001502,               0.001502
                      8,                 2.0298,                 2.2781,                 1.9638,                0.35757,                   0.45,                 0.3163,                0.13476,                 1.8833,                 2.1832,                 1.9178,               0.001469,               0.001469,               0.001469
                      9,                 1.9984,                 2.2256,                  1.931,                0.35688,                0.47457,                0.33315,                0.14586,                 1.8574,                  2.248,                 1.9131,               0.001436,               0.001436,               0.001436
                     10,                 1.9869,                  2.209,                 1.9146,                0.41503,                0.46531,                0.37872,                0.17341,                 1.7909,                 2.0236,                  1.879,              0.0014029,              0.0014029,              0.0014029
                     11,                 1.9497,                 2.1694,                 1.8903,                 0.3567,                0.49358,                0.38192,                0.17203,                 1.7588,                 2.0894,                 1.8286,              0.0013699,              0.0013699,              0.0013699
                     12,                 1.9179,                 2.1152,                 1.8538,                0.42196,                0.48346,                 0.4058,                0.19276,                 1.7906,                   1.94,                 1.8338,              0.0013369,              0.0013369,              0.0013369
                     13,                 1.8966,                 2.0882,                 1.8283,                0.47128,                0.52012,                0.43558,                 0.1941,                  1.826,                 1.8891,                 1.8644,              0.0013039,              0.0013039,              0.0013039
                     14,                 1.8813,                  2.053,                 1.8175,                0.40987,                0.49166,                0.40625,                0.19179,                 1.7505,                 1.9173,                 1.7966,              0.0012709,              0.0012709,              0.0012709
                     15,                 1.8667,                 2.0282,                 1.8044,                 0.4545,                0.48782,                0.43523,                0.20111,                 1.7744,                 1.9006,                 1.8354,              0.0012379,              0.0012379,              0.0012379
                     16,                 1.8489,                 1.9969,                 1.7827,                0.47852,                0.50609,                0.45924,                0.21558,                 1.7613,                 1.9402,                 1.8189,              0.0012049,              0.0012049,              0.0012049
                     17,                 1.8468,                 1.9859,                  1.776,                0.51295,                0.52706,                0.48764,                0.23634,                  1.692,                 1.8213,                 1.7322,              0.0011719,              0.0011719,              0.0011719
                     18,                  1.835,                 1.9567,                 1.7525,                0.47566,                0.52235,                0.45829,                0.21457,                 1.7192,                 1.9217,                 1.7596,              0.0011389,              0.0011389,              0.0011389
                     19,                 1.8299,                 1.9442,                 1.7397,                0.56073,                0.54367,                0.52358,                0.24886,                 1.6936,                 1.7728,                 1.7348,              0.0011059,              0.0011059,              0.0011059
                     20,                  1.818,                 1.9051,                 1.7432,                0.48049,                0.54137,                0.50246,                0.24379,                 1.7387,                 1.7402,                 1.7616,              0.0010729,              0.0010729,              0.0010729
                     21,                 1.8058,                 1.9116,                 1.7352,                0.49951,                0.58118,                0.52516,                0.26078,                 1.6437,                 1.6829,                 1.6856,              0.0010399,              0.0010399,              0.0010399
                     22,                  1.805,                 1.9007,                 1.7233,                0.58908,                 0.5679,                0.55516,                0.27323,                 1.6484,                 1.6827,                 1.7056,              0.0010069,              0.0010069,              0.0010069
                     23,                 1.7824,                 1.8396,                 1.7266,                0.55329,                 0.5783,                 0.5749,                0.29428,                 1.6342,                 1.6192,                 1.7023,             0.00097386,             0.00097386,             0.00097386
                     24,                  1.768,                  1.823,                 1.7013,                0.54627,                0.58832,                0.55262,                0.28305,                 1.6437,                 1.6236,                 1.6866,             0.00094085,             0.00094085,             0.00094085
                     25,                 1.7604,                  1.811,                 1.7016,                 0.5861,                0.56679,                0.58262,                0.29889,                 1.6355,                 1.6458,                 1.6849,             0.00090785,             0.00090785,             0.00090785
                     26,                 1.7389,                 1.7956,                 1.6877,                0.63777,                0.59596,                 0.6164,                0.31489,                 1.6037,                 1.5642,                 1.6553,             0.00087484,             0.00087484,             0.00087484
                     27,                 1.7418,                 1.7769,                 1.6668,                0.62024,                0.60779,                 0.6098,                0.31493,                 1.6048,                 1.5494,                 1.6686,             0.00084184,             0.00084184,             0.00084184
                     28,                 1.7242,                 1.7253,                  1.672,                0.61364,                 0.6048,                0.61578,                0.32056,                 1.5879,                 1.5237,                 1.6474,             0.00080883,             0.00080883,             0.00080883
                     29,                 1.7296,                 1.7171,                 1.6737,                0.58067,                0.59544,                0.59494,                0.31398,                 1.5711,                 1.5155,                 1.6401,             0.00077582,             0.00077582,             0.00077582
                     30,                  1.712,                  1.711,                 1.6548,                0.61969,                0.59315,                 0.6134,                0.33294,                 1.5434,                 1.5999,                 1.6228,             0.00074282,             0.00074282,             0.00074282
                     31,                 1.6928,                 1.6809,                 1.6372,                0.65815,                0.61912,                0.63292,                0.33208,                 1.5574,                 1.5152,                 1.6082,             0.00070981,             0.00070981,             0.00070981
                     32,                 1.6993,                 1.6845,                 1.6387,                0.62737,                0.62008,                0.63127,                0.32055,                 1.5637,                 1.4919,                 1.6085,              0.0006768,              0.0006768,              0.0006768
                     33,                 1.6898,                 1.6469,                 1.6157,                 0.6719,                0.63228,                0.67699,                0.37135,                 1.5159,                 1.4038,                 1.5793,              0.0006438,              0.0006438,              0.0006438
                     34,                 1.6756,                 1.6337,                 1.6285,                0.64638,                0.65258,                0.66944,                0.35925,                 1.5265,                 1.4172,                 1.5916,             0.00061079,             0.00061079,             0.00061079
                     35,                 1.6662,                 1.6107,                 1.6182,                0.70974,                0.67004,                0.70049,                0.38102,                 1.5427,                 1.3975,                 1.5939,             0.00057778,             0.00057778,             0.00057778
                     36,                 1.6482,                  1.584,                 1.6107,                0.66267,                0.66656,                0.68752,                0.38794,                 1.4738,                  1.355,                 1.5441,             0.00054478,             0.00054478,             0.00054478
                     37,                  1.642,                  1.541,                 1.5944,                0.69955,                0.66198,                0.70905,                0.39741,                  1.469,                  1.336,                 1.5295,             0.00051177,             0.00051177,             0.00051177
                     38,                 1.6286,                 1.5496,                 1.5845,                0.69138,                0.66218,                0.69958,                0.39087,                 1.4559,                 1.3331,                 1.5269,             0.00047876,             0.00047876,             0.00047876
